City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-09-24 15:28:03,-54.8,-68.3,55.06,50,75,12.66
1,Cape Town,ZA,2021-09-24 15:25:41,-33.9258,18.4232,66.61,59,0,16.11
2,Rikitea,PF,2021-09-24 15:23:28,-23.1203,-134.9692,73.47,78,100,21.09
3,Arraial Do Cabo,BR,2021-09-24 15:28:03,-22.9661,-42.0278,76.96,43,0,25.32
4,Dikson,RU,2021-09-24 15:28:04,73.5069,80.5464,35.49,82,100,14.29
5,Leku,ET,2021-09-24 15:28:04,6.8667,38.45,62.78,88,96,4.16
6,Busselton,AU,2021-09-24 15:27:44,-33.65,115.3333,50.09,75,20,14.97
7,Sao Filipe,CV,2021-09-24 15:28:05,14.8961,-24.4956,79.03,76,57,6.15
8,Port Lincoln,AU,2021-09-24 15:28:05,-34.7333,135.8667,52.61,68,100,11.3
9,Nikolskoye,RU,2021-09-24 15:28:05,59.7035,30.7861,50.4,82,100,6.71
10,Ewa Beach,US,2021-09-24 15:28:06,21.3156,-158.0072,76.98,77,1,11.01
11,Punta Arenas,CL,2021-09-24 15:28:06,-53.15,-70.9167,53.71,62,75,14.97
12,Kharan,PK,2021-09-24 15:28:06,28.5833,65.4167,90.03,9,0,1.23
13,Bluff,NZ,2021-09-24 15:28:07,-46.6,168.3333,50.81,72,99,27.27
14,Severo-Kurilsk,RU,2021-09-24 15:28:07,50.6789,156.125,48.4,95,100,27.98
15,Jamestown,US,2021-09-24 15:24:48,42.097,-79.2353,62.02,64,90,8.99
16,Ozernovskiy,RU,2021-09-24 15:28:07,51.5,156.5167,48.22,85,100,9.22
17,Chokurdakh,RU,2021-09-24 15:28:08,70.6333,147.9167,32.81,78,99,12.39
18,Qaanaaq,GL,2021-09-24 15:28:08,77.484,-69.3632,16.29,67,20,5.93
19,Albany,US,2021-09-24 15:26:45,42.6001,-73.9662,67.17,78,27,2.95
20,Mataura,NZ,2021-09-24 15:28:09,-46.1927,168.8643,50.49,78,98,9.17
21,Bonthe,SL,2021-09-24 15:28:09,7.5264,-12.505,84.87,66,57,10.78
22,Vardo,NO,2021-09-24 15:28:10,70.3705,31.1107,49.75,82,100,18.5
23,Bengkulu,ID,2021-09-24 15:28:10,-3.8004,102.2655,77.27,88,94,3.91
24,Constitucion,CL,2021-09-24 15:28:10,-35.3333,-72.4167,66.15,53,0,4.29
25,Adrar,MR,2021-09-24 15:28:11,20.5022,-10.0711,100.9,12,98,5.48
26,Bredasdorp,ZA,2021-09-24 15:28:11,-34.5322,20.0403,67.32,52,29,13.8
27,Mar Del Plata,AR,2021-09-24 15:27:33,-38.0023,-57.5575,59.02,30,40,15.01
28,Hobart,AU,2021-09-24 15:24:39,-42.8794,147.3294,40.05,71,40,8.01
29,Porto Belo,BR,2021-09-24 15:28:12,-27.1578,-48.5531,73.69,83,98,4.25
30,Hithadhoo,MV,2021-09-24 15:28:12,-0.6,73.0833,81.91,69,100,7.02
31,El Tigre,VE,2021-09-24 15:28:13,8.8875,-64.2454,86.81,55,54,7.87
32,Upernavik,GL,2021-09-24 15:28:13,72.7868,-56.1549,25.57,88,100,5.23
33,Saint-Pierre,RE,2021-09-24 15:28:13,-21.3393,55.4781,73.08,74,0,12.66
34,Lethem,GY,2021-09-24 15:28:14,3.3803,-59.7968,90.54,51,91,9.28
35,Yellowknife,CA,2021-09-24 15:28:14,62.456,-114.3525,44.42,99,90,7.0
36,Tutoia,BR,2021-09-24 15:28:14,-2.7619,-42.2744,89.58,52,2,14.72
37,Batagay-Alyta,RU,2021-09-24 15:28:14,67.8006,130.4114,29.55,89,100,3.4
38,Atuona,PF,2021-09-24 15:28:15,-9.8,-139.0333,77.59,73,58,18.52
39,Moroni,KM,2021-09-24 15:28:15,-11.7022,43.2551,80.6,74,40,12.66
40,Buala,SB,2021-09-24 15:25:11,-8.145,159.5921,79.14,83,83,3.29
41,East London,ZA,2021-09-24 15:27:11,-33.0153,27.9116,65.34,72,0,6.91
42,Vao,NC,2021-09-24 15:28:16,-22.6667,167.4833,68.56,62,100,10.67
43,Kavieng,PG,2021-09-24 15:28:16,-2.5744,150.7967,82.24,76,52,14.34
44,Puerto Ayora,EC,2021-09-24 15:28:17,-0.7393,-90.3518,71.56,80,95,7.96
45,Hilo,US,2021-09-24 15:27:26,19.7297,-155.09,73.27,68,1,8.05
46,Itoman,JP,2021-09-24 15:28:17,26.1247,127.6694,80.62,73,20,9.22
47,Lichinga,MZ,2021-09-24 15:28:17,-13.3128,35.2406,71.69,53,75,4.61
48,Sitka,US,2021-09-24 15:28:18,57.0531,-135.33,53.49,76,90,11.5
49,Khatanga,RU,2021-09-24 15:28:18,71.9667,102.5,31.82,88,93,3.15
50,Camacupa,AO,2021-09-24 15:28:18,-12.0167,17.4833,93.56,6,9,10.16
51,Ankang,CN,2021-09-24 15:28:19,32.68,109.0172,72.37,96,93,2.98
52,Hundorp,NO,2021-09-24 15:28:19,61.5552,9.9407,50.41,77,97,5.95
53,Cherskiy,RU,2021-09-24 15:28:20,68.75,161.3,28.33,82,100,7.34
54,Kudahuvadhoo,MV,2021-09-24 15:28:20,2.6708,72.8944,78.4,78,100,7.72
55,Jutai,BR,2021-09-24 15:28:20,-5.1833,-68.9,89.87,53,88,3.53
56,Kaitangata,NZ,2021-09-24 15:28:21,-46.2817,169.8464,46.49,78,100,7.58
57,Port Alfred,ZA,2021-09-24 15:28:21,-33.5906,26.891,64.65,69,100,10.51
58,Bima,ID,2021-09-24 15:28:21,-8.4667,118.7167,76.15,89,42,3.71
59,Ribeira Grande,PT,2021-09-24 15:28:22,38.5167,-28.7,72.0,73,20,14.97
60,Barrow,US,2021-09-24 15:28:22,71.2906,-156.7887,24.82,86,75,3.44
61,Necochea,AR,2021-09-24 15:28:22,-38.5473,-58.7368,69.04,67,12,6.17
62,Hermanus,ZA,2021-09-24 15:28:23,-34.4187,19.2345,63.81,77,13,7.67
63,Keetmanshoop,NA,2021-09-24 15:28:23,-26.5833,18.1333,85.12,4,0,7.72
64,Windsor,CA,2021-09-24 15:25:21,42.3001,-83.0165,64.06,75,1,1.99
65,San Policarpo,PH,2021-09-24 15:28:23,12.1791,125.5072,82.29,82,46,8.39
66,Baiyin,CN,2021-09-24 15:28:24,36.5583,104.2081,61.68,66,79,2.95
67,Baruun-Urt,MN,2021-09-24 15:28:24,46.6806,113.2792,51.22,93,0,10.47
68,Vawkavysk,BY,2021-09-24 15:28:24,53.1561,24.4513,53.29,80,100,18.41
